manual_id,text,complaint_reason,department,feedback_category
E035,There's no ramp or accessible entry for differently-abled students at our school.,Education,Ministry of Education,Complaint
E036,The government college has not released the revised fee structure despite repeated requests.,Education,Ministry of Education,Complaint
E037,Our school still uses outdated textbooks that don't match the current syllabus.,Education,Ministry of Education,Complaint
E038,The scholarship for SC/ST students hasn't been disbursed for this academic year yet.,Education,Ministry of Education,Complaint
E039,"Why do government school teachers get transferred mid-year, disrupting the children's studies?",Education,Ministry of Education,Complaint
E040,The school inspection team never actually visited despite the scheduled date passing.,Education,Ministry of Education,Complaint
E041,There's no counselor available at our school for students dealing with exam stress.,Education,Ministry of Education,Complaint
E042,The promised free bicycle scheme for girl students hasn't reached our village school.,Education,Ministry of Education,Complaint
E043,Admission under the RTE quota was denied to my child despite meeting all eligibility criteria.,Education,Ministry of Education,Complaint
E044,"The government school building doesn't have a boundary wall, raising safety concerns.",Education,Ministry of Education,Complaint
E045,Our university library hasn't updated its book collection in over five years.,Education,Ministry of Education,Complaint
E046,The teacher training program promised by the education department was cancelled at the last moment.,Education,Ministry of Education,Complaint
E047,Why is internet connectivity so poor at the government school that online classes are impossible.,Education,Ministry of Education,Complaint
E048,The exam fee once paid isn't being refunded even though the exam itself got cancelled.,Education,Ministry of Education,Complaint
E049,Our school doesn't have a functioning first-aid kit despite it being a mandatory requirement.,Education,Ministry of Education,Complaint
E050,The government college professor post has been vacant for two years affecting the entire department.,Education,Ministry of Education,Complaint
