tweet_id,tweet_text,c_and_g,category,organization
7.19389356981506e+17,Just got to know- father of juvenile killer out on bail. Hope that @DelhiPolice keeps building a solid case against the delinquent driver.,0.0,,DelhiPolice
7.193897241299313e+17,@drmsbc @RailMinIndia @sureshpprabhu trees at platfrm in hebbal help beat heat @37 in blore.no shltr or fan reqrd. https://t.co/X4N1JPUiRL,0.0,,RailMinIndia
7.193899313033462e+17,@dtptraffic please see the pics of jam https://t.co/uEN9nnsuLo,1.0,JAM,dtptraffic
7.19391401838977e+17,Water Supply From Today To Latur By @RailMinIndia really no word to express happiness just sayवाह @sureshpprabhu जी https://t.co/6melh1fTax,0.0,,RailMinIndia
7.193928853558477e+17,True! Wondering why @dtptraffic was so careless despite 3 offences https://t.co/EHckwAOMXh,1.0,NO ACTION,dtptraffic
7.193929508163461e+17,Thanks @dtptraffic for quick response  hope for quick action too #delhitraffic #delhipolice #parkingproblem https://t.co/ZIpGeYDRG4,0.0,,dtptraffic
7.193931848291533e+17,@DelhiPolice announces the arrest of 6 autolefters  recovered 36 vehicles and worked out around 50 cases.,0.0,,DelhiPolice
7.193962440580383e+17,Gud morning delhi @DCPNEastDelhi  @DelhiPolice @CPDelhi,0.0,,DelhiPolice
7.194002365404979e+17,shan e punjab express is the first train of india with cctv camera https://t.co/BZIuXGGCUx @sureshpprabhu @RailMinIndia   BIG THANKS SIR??,0.0,,RailMinIndia
7.194068736658637e+17,Inmate flees from custody of @DelhiPolice in Bawana area. @timesofindia,0.0,,DelhiPolice
7.194071333184553e+17,3 @DelhiPolice cops accused of extortion. Come two days after 3 were arrested on similar charges. #wakeupcall,0.0,,DelhiPolice
7.194082000725606e+17,@dtptraffic Implement SC order but simultaneously regulate traffic also  as we face traffic jam on regular basis in different parts of Del.,0.0,,dtptraffic
7.19410419492737e+17,@dtptraffic sir  wanted to know if some1 has consumed alcohol n value comes as 130 only would the license be canceled for 3 months.,0.0,,dtptraffic
7.194140408758067e+17,The criminal who fled @DelhiPolice custody was accused of murder/robbery and several heinous cases. Manhunt launched. @timesofindia,0.0,,DelhiPolice
7.194157641602662e+17,The undertrial Deepak was arrested by @DelhiPolice after a brief encounter  some weeks ago was involved in a murder case @htTweets @htdelhi,0.0,,DelhiPolice
7.19418304683774e+17,Dipak  a prisoner accused of murder escapes from @DelhiPolice van in Bavana. He was lodged in Tihar Jail.,0.0,,DelhiPolice
7.194292047989105e+17,Sir please prove water in our coach we dnt even able to use bathrooms train name garba express way to howrah @RailMinIndia,1.0,coach,RailMinIndia
7.194305480163983e+17,@dtptraffic Sir  Are heavy vehicles like roadways buses etc. allowed to ply on Barapullah Elevated Road?,0.0,,dtptraffic
7.194306836014408e+17,@dtptraffic DL 2SN 4248 no helmet  burari main road  5 april 2016  4:48 pm https://t.co/U5NTjOs25z,1.0,NO HELMET,dtptraffic
7.194316725595668e+17,@DeeptiSachdeva_ @DelhiPolice SUSPEND THIS COP IMMEDIATELY  https://t.co/jm8tawIfJR,1.0,CORRUPTION,DelhiPolice
7.194327797006705e+17,@sureshpprabhu @RailMinIndia Well done! Trust builded more! This Govt. Works for needy not greedy. https://t.co/SD2PwxKSIu,0.0,,RailMinIndia
7.1943283461666e+17,@GMNCR1 @RailMinIndia @drmncrald @sureshpprabhu Sir my father was retired in jan 2014 and till now his D.A. has not being given.,1.0,employment,RailMinIndia
7.194331819344527e+17,@GMSRailway @RailMinIndia Sir  a couple of coaches in train no 12076 are ordinary chair cars instead of 2nd Jan chair cars for last 1 month,1.0,coaches,RailMinIndia
7.194346041306194e+17,A laudable effort by @IncomeTaxIndia in launching an e-appeal filing system for applicants. A win-win situation for everyone involved.,0.0,,IncomeTaxIndia
7.19435828754133e+17,@RailMinIndia pnr 2541282765 traveling on 17 April with spouse &amp; 2 daughters but cnf seats are scattered it wud be of help if seat together,0.0,,RailMinIndia
7.194422375164396e+17,#Delhi/#SOS Need 2 units blood and 1 unit platelet any group At AIIMS April 11 Call 9713022140 @Netra @richaanirudh @DelhiPolice,0.0,,DelhiPolice
7.194425639381688e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/1EoPJkBpy3,0.0,,RailMinIndia
7.194452341831188e+17,@RailMinIndia @DrmSolapur @rlyhydka sir for u siddeshwar exp so imp like for Glb 22133/34 ypr-sur exp is imp Gulbarga pasx  terminate at Gr,0.0,,RailMinIndia
7.194459750649774e+17,@DelhiPolice I have lost my mobile phone Samsung E -7 IMEI No. 358185066502011 &amp; 358186066502019 in karmpura terminal Delhi 110015. Please,0.0,,DelhiPolice
7.194473441067459e+17,So many rules are broken outside Sanskriti School! Yet @dtptraffic act as a mere suspectator or facilitator! Incorrect parking  turns  1/2,0.0,NO ACTION,dtptraffic
7.194515971100508e+17,@dtptraffic pls send help. Traffic jam St Marks School  Meera Bagh,1.0,JAM,dtptraffic
7.194521372692685e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/t7bg1BS8yz,0.0,,RailMinIndia
7.194529016099676e+17,HC Raj Singh of @DelhiPolice was arrested on Saturday for extortion attempt  his two colleagues are evading arrest @htTweets @htdelhi,0.0,,DelhiPolice
7.194539163463803e+17,Arrested @DelhiPolice HC Raj Singh is posted in anti-auto theft squad of southwest district police  @htTweets @htdelhi @CPDelhi,0.0,,DelhiPolice
7.194547001022423e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/ZNrlihJSb3,0.0,,RailMinIndia
7.194565001632809e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/Y03sj4Nrnr,0.0,,RailMinIndia
7.194568404303872e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/k0OW3Aeqta,0.0,,RailMinIndia
7.194577630178877e+17,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/xvdOoHFOZd,0.0,,RailMinIndia
7.194606806680453e+17,hope charges r framed for implanting driver in plc f accused @dtptraffic @DelhiPolice https://t.co/rSjm07n0Ex @legal_india,1.0,NO ACTION,dtptraffic
7.194611810486272e+17,@RailMinIndia pnr 2862797793 no charging point on s11 12 dirty bathroom  insects in berth  heavy jerk through out journey,1.0,dirty,RailMinIndia
7.194632577784422e+17,@DelhiPolice 2 suspect of inside rajendra nagar metro station  loot. Try 2 indentify them and call the delhi police https://t.co/J7DoO5JSsQ,1.0,METRO,DelhiPolice
7.194640442356244e+17,#Delhi is the #TrafficJam Capital...Thanks to @dtptraffic Inefficiency &amp; Incompetence @DelhiPolice,0.0,,dtptraffic
7.194671046598328e+17,Please rope in @RailMinIndia to supply water to drought affected areas in the country https://t.co/3XiLFymcUk,0.0,,RailMinIndia
7.194672031211233e+17,PAN migration request of large no. of tax payers are pending with @IncomeTaxIndia result into unsettled demand rectification.@adhia03,1.0,PAN CARD,IncomeTaxIndia
7.194712578219254e+17,People can now apply for a #restaurant  #bar  #pub or #arms #license #online  courtesy @DelhiPolice. Read: https://t.co/7cl9shnuZC @CPDelhi,0.0,,DelhiPolice
7.194720242723144e+17,@ArvindKejriwal crime increasing in #Delhi @DelhiPolice @aapdelhincr ? https://t.co/c20q2VPUpI,0.0,,DelhiPolice
7.19493352366936e+17,@RailMinIndia Calling passengers nd asking suggestions fr improvement of cleaning..grt work @sureshpprabhu..thank u !,0.0,,RailMinIndia
7.195007722417111e+17,@dtptraffic 10.30 am towards Gandhi Nagar 11.04.2016 driving without helmet Pillion https://t.co/iRH9wOxVUd,1.0,NO HELMET,dtptraffic
7.19501041004372e+17,@dtptraffic crossing stop line and Pillion without helmet 11.04.2016 at Gandhi Nagar red light 10.30am https://t.co/RB5WIHH6qr,1.0,NO HELMET,dtptraffic
7.195016285298524e+17,@dtptraffic Driving without helmet 11.04.2016 at 10.30 am Gandhi Nagar https://t.co/LA6iQfOrGF,1.0,NO HELMET,dtptraffic
7.19501887746216e+17,@dtptraffic Driving without helmet 11.04.2016 at Gandhi Nagar 10.30 am https://t.co/RG8o89AZlv,1.0,NO HELMET,dtptraffic
7.195021798080758e+17,@sureshpprabhu @RailMinIndia https://t.co/1tzTYKVXxo police collecting money from people.plz verify authority of video and identity of him.,1.0,corruption,RailMinIndia
7.195027425747354e+17,Yusuf Sarai paralysed with traffic jam. Need better traffic police managing the situation. @dtptraffic #Delhi @ArvindKejriwal @msisodia,1.0,JAM,dtptraffic
7.195034376673976e+17,Now this time it was the turn of Dibrugarh Rajdhani Exp  but no change @RailMinIndia @PMOIndia,0.0,,RailMinIndia
7.195085239277363e+17,@RailMinIndia my botj srtz parents having pain in leg .I fear how could they manage in long journey.,0.0,,RailMinIndia
7.195140184619254e+17,@DelhiPolice when R u arresting wife 4 abetment of suicide? IT executive hangs self in Patel Nagar   https://t.co/nzOwgwsDTq @timesofindia,0.0,,DelhiPolice
7.195201137921311e+17,Extremely poor infrastructure at Kurla railway station. I hope @RailMinIndia is taking steps to address these issues faced by commuters,1.0,platform,RailMinIndia
7.195210730714644e+17,@RailMinIndia Bhilwara Railway Station Glittering with Famous  Phad Painting. https://t.co/gWz69BSzpY,0.0,,RailMinIndia
7.195225725141647e+17,@IncomeTaxIndia I called CPC&amp;my assessing officer abt my Refund but nobody ready is ready to tell me exact timeframe/date of it. help me plz,1.0,REFUND,IncomeTaxIndia
7.195277306230292e+17,Sir pls check this issue.  @sureshpprabhu  @RailMinIndia https://t.co/iIzIqqrIKH,0.0,,RailMinIndia
7.195293323649925e+17,@RailMinIndia @sureshpprabhu was traveling by CST-Thane local  observed power failure at kanjur station.station is almost blackout.,1.0,platform,RailMinIndia
7.195300959840297e+17,Cleanliness Drive at Ahmedabad station by SANT NIRAKARI CHARITY FOUNDATION @RailMinIndia @WesternRly @sureshpprabhu https://t.co/di9R0lTQXt,0.0,,RailMinIndia
7.195310803285484e+17,My bro got his licence confiscated for speeding! Thank u @dtptraffic for not taking a bribe &amp; teaching him a real lesson. Much appreciated!,0.0,,dtptraffic
7.195379726563901e+17,@dtptraffic Reminder No 7. Pl improve traffic condition on golwalkar marg between police line and poonthkalan due to encroachment .,1.0,JAM,dtptraffic
7.195444602170982e+17,@RailMinIndia - Vendor named Satkar Caterers at Itarsi Railway Station is charging Rs.40 for Sprite pet bottle having MRP Marked as Rs. 34.,1.0,fraud,RailMinIndia
7.195469392183951e+17,@dtptraffic heavy traffic on NH 24 indraprashta to akshardham due to vehicles parked on the rode side in evening. Please dont let them park.,1.0,JAM,dtptraffic
7.195469840303104e+17,Hawker nuisance #dadarst on &amp; outside the main FOB @RailMinIndia https://t.co/hXzyh6Ck9m,1.0,platform,RailMinIndia
7.195507763859128e+17,@DelhiPolice no action has been taken on my email regarding fraudulent payment and non delivery by Interstate Cargo movers  janakpuri,1.0,NO ACTION,DelhiPolice
7.195510728267325e+17,@DelhiPolice I already submitted the complaint yesterday from my email profile version2@gmail.com,0.0,,DelhiPolice
7.195517402830029e+17,Delhi metro is also #NotSafe  #CriminalMinds can exist anywhere! @DelhiPolice  https://t.co/0MXLhIlMpR,1.0,METRO,DelhiPolice
7.195530121722102e+17,Indigo Cab on fire opposite Eros Hotel Nehru Place. Road closed. @dtptraffic https://t.co/LbGbf3s6Ps,1.0,JAM,dtptraffic
7.195560914958623e+17,Very disappointed with condition of common areas and toilet; and food onboard Bhopal-Del Shatabdi today.@RailMinIndia @sureshpprabhu,1.0,dirty,RailMinIndia
7.195612084378747e+17,@RailMinIndia #हिन्दू_संत_निशाने_पर ! Series of fake cases on innocent Hindu Saints! Hindus Wake Up! https://t.co/jn5Iski4gY,0.0,,RailMinIndia
7.195640255295693e+17,@RailMinIndia Sir  please try to start train from AGARTALA to New Delhi as soon as possible .Its a request sir ......,1.0,suggestion,RailMinIndia
7.195777626174259e+17,@dtptraffic Sir  Can you please guide on Speed Limit all across Delhi ? 60 KM or dependent on Roads   40  50  60 accordingly,0.0,,dtptraffic
7.195833655489987e+17,@dtptraffic DL 8S BG 3730  tripling and 2 pillions without helmet  burari main road  5 april 2016  5:03 pm https://t.co/SMKKvx8hqT,1.0,NO HELMET,dtptraffic
7.195845790744125e+17,@dtptraffic DL 7S AM 8664 no helmet  burari main road  5 april 2016  rider and pillion without helmet  5:01 pm https://t.co/Fkr3jkZ3p1,1.0,NO HELMET,dtptraffic
7.196097703955866e+17,@dir_ed @IncomeTaxIndia @HMOIndia @PMOIndia  Frauds of sarda-narda chit-fund scam must get caught soon! All officials linked must be probed!,1.0,SCAM,IncomeTaxIndia
7.196104983421993e+17,@IncomeTaxIndia @dir_ed  Assets belongings &amp; properties of all government officials employees &amp; their relatives must be checked &amp; inquired!,0.0,,IncomeTaxIndia
7.196837534597161e+17,@RailMinIndia @sureshpprabhu PNR 4118831050. At Jhansi local vendors openly selling cigarette and Gutkha in sleeper class at early morning.,1.0,coaches,RailMinIndia
7.196907772789555e+17,Wow. #Star performance by @RailMinIndia under the able leadership of @sureshpprabhu #Airlines knocking the doors... https://t.co/mcuTdJQ7qb,0.0,,RailMinIndia
7.197084209751204e+17,Zilch effort made my @DelhiPolice 2 curb #HumanTrafficking. Providing shelter/food n educatn can bring change @ArvindKejriwal @msisodia,0.0,,DelhiPolice
7.197097602962186e+17,@dtptraffic :Seen almost 10 of them plying with kids. How many challans in last 6 months share data plz. https://t.co/pDqwBHOPF3,0.0,NO ACTION,dtptraffic
7.197103640409743e+17,@RailMinIndia @sureshpprabhu -delhi cantt st cleaning staff asking 4 money 4 allowing 2 sit in waiting hall. No st master present 2 complain,1.0,corruption,RailMinIndia
7.197108840801894e+17,@RailMinIndia  situation at the entry on C5 12040 https://t.co/CX7n1AFVGn,0.0,,RailMinIndia
7.197133128255488e+17,@RidlrDEL @dtptraffic huge jam at dhaula kuan. Reason unknown. Somebdy get involved please,1.0,JAM,dtptraffic
7.197214893737697e+17,I think this is a good idea! Anyone in India especially Traffic Police ready to follow it here? @dtptraffic  https://t.co/3jS5wINtwH,0.0,,dtptraffic
7.197233418215137e+17,@DelhiPolice Many Non-Hindu leaders like Maulana Abdul Karim Kadri support truth because #EvenTheyKnowBapujiIsFramed https://t.co/xqeAckVVzy,0.0,,DelhiPolice
7.197235223737385e+17,Gr8 Relief @RailMinIndia @Indianrlyinfo  https://t.co/cfA2L1F34V,0.0,,RailMinIndia
7.197329570161705e+17,@RailMinIndia @drmmumbaicr sir please do something 19215 in one FC compartment 16 other people are seating and forced me and my family to,1.0,violence,RailMinIndia
7.197330515850854e+17,@dtptraffic DL 6S AU 1229 without helmet @ Deshbandhu Gupta Road Karol Bagh on 12April 2016 @ 9.10 am https://t.co/032ms1XDcB,1.0,NO HELMET,dtptraffic
7.197339729393828e+17,@dtptraffic  Offence - Without Helmet Place - Uttam Nagar East Metro Station Date - 12/04/16 Time - 8.50 am https://t.co/KB5UyWIAvC,1.0,NO HELMET,dtptraffic
7.197369968229704e+17,@dtptraffic Road choked from Shahdara flyover to Seelampur metro station,1.0,JAM,dtptraffic
7.19737173231018e+17,@DelhiPolice Please take suo moto action against this handle for abusing PM. He should be behind bars. Track his IP. https://t.co/ZMc2v58kqD,1.0,E-CRIME,DelhiPolice
7.197382193994916e+17,@dtptraffic sir  Ryan international school  Sector-25  Rohini mey  teenager students drive scotoor&amp;motorcycle action https://t.co/CY5zsx2DuR,1.0,MINOR,dtptraffic
7.197386864100639e+17,@dtptraffic  Offence - Tinted Glass Place - Opposite Military College  Delhi Cantt  Date - 12/04/16 Time - 9.37 am https://t.co/ZuFSQZ6Bes,1.0,TINTED GLASS,dtptraffic
7.19740402496983e+17,Sir  +919060098569 This number is fake  &amp; making fraudulent call for ATM Card number and pin codes  please make awareness @DelhiPolice,1.0,FRAUD,DelhiPolice
7.197409577264169e+17,Commendable job by @RailMinIndia @sureshpprabhu &amp; @narendramodi by providing water in Latur through water train.They care for people indeed?,0.0,,RailMinIndia
7.197412714981786e+17,@dtptraffic  requesting yourself to  depute  personnel at Tahirpur-boarder Red Light  Seemapuri Distt. NorthEasth.,1.0,JAM,dtptraffic
7.197418688801751e+17,@dtptraffic Please provide action details. Sir  @mukteshchander l hav been following up on dis fr days but no action https://t.co/MJQU3mvXd4,1.0,NO ACTION,dtptraffic
7.197418947550085e+17,@dtptraffic Daily commuter face  Jam problem on a/o  nonobservances of the red light and 15-20 minutes are wasted daily becz of this jam,1.0,JAM,dtptraffic
7.197443727748178e+17,@dtptraffic Massive JAM occurs daily from the last one year due to nuisance at SEELAMPUR REDLIGHT. No action taken by traffic police.,1.0,JAM,dtptraffic
7.19745208716374e+17,@dtptraffic  Heavy traffic  jam at berar square,1.0,JAM,dtptraffic
7.19745579236991e+17,@DelhiPolice the windows  front and rear has dark film... https://t.co/JWpGNBWzBY,1.0,TRAFFIC,DelhiPolice
7.197455940429496e+17,@CPDelhi sir writing 4m #mahipalpur hv already wrtn 100 times 2 @dtptraffic handle but no respite cab drivers drive on d wrong side of 1/2,1.0,WRONG LANE,dtptraffic
7.197475982030275e+17,@RailMinIndia Tatkal tkt vanishes in barely 2secs  its a serious concern  forced to pay whopping 6k-7k for Hyd-Patna journey. Pls take steps,1.0,tatkal,RailMinIndia
7.197492516856832e+17,Close call. Fire broke out in the building next to me. So impressed with @DelhiPolice and their quick action. https://t.co/YEgQBFSvxP,0.0,,DelhiPolice
7.197498092639068e+17,@welcome to @RailMinIndia @sureshpprabhu for water services in drought  area like latur .Also appeal corporate for help.,0.0,,RailMinIndia
7.197521909617828e+17,Should buses be parked on the road considering that there is a depot next to the CGO Complex? @dtptraffic https://t.co/Dd33JZQm6P,1.0,PARKING,dtptraffic
7.197525793291674e+17,@PMOIndia @DelhiPolice take action against @toi for tarnishing image of INDIA and modesty of a woman @SwatiJaiHind https://t.co/7R2lRStqLK,0.0,,DelhiPolice
7.19753083723522e+17,Pan card not processed.. Pan card online requested @smritiirani @narendramodi @IncomeTaxIndia provided valid documents as per guidelines!!,1.0,PAN CARD,IncomeTaxIndia
7.197584636481577e+17,Misuse of official vehicles allotted to railway officers.GPS may be provided in all vehicle @railminindia @sureshpprabhu,0.0,,RailMinIndia
7.197612773592515e+17,@RailMinIndia Why Rly gives facality of sitting in many trains due to vacant births in sleeper.Is it not lose of Rly Revenue,0.0,,RailMinIndia
7.19761573665878e+17,@dtptraffic 1/3 please look in this matter  they are big threat on road.,0.0,,dtptraffic
7.197624300085576e+17,@sureshpprabhu @RailMinIndia @IRCTC_Ltd  urgent help please i have booked a tatkal ticket from irtc website booking tid 100000482171932 but&gt;,0.0,,RailMinIndia
7.197634910625546e+17,@AapKaGopalRai If I ve a cng fitted car with a comp cng sticker then is it neccessay to hv that red sticker? @ArvindKejriwal @dtptraffic,0.0,,dtptraffic
7.197637608948982e+17,@ArvindKejriwal  @aapdelhincr   @jalboarddelhi  @DelhiPolice  @BJP4India @TimesNow .  Daily jams at pragati madan. https://t.co/COmHpxH6Ox,1.0,TRAFFIC,DelhiPolice
7.197656856104878e+17,#delhi @dtptraffic #dtc bus has stuck in preet vihar red light https://t.co/qQ4BBao1I6,1.0,JAM,dtptraffic
7.197694048216474e+17,@dtptraffic When the members of pitam pura bar association and residents objects  all the driver  cleaners comes with lathis  Rods and other,0.0,,dtptraffic
7.197729452293038e+17,@shreyas3010: @sureshpprabhu @RailMinIndia the problem has been resolved. Thanks for the immediate response. Overwhelmed by your working.,0.0,,RailMinIndia
7.197745321064899e+17,Nice app utsonmobile for unreserved ticket booking paperless .. One step towards Digital India @RailMinIndia @EasternRailway @sureshpprabhu,0.0,,RailMinIndia
7.197759757860946e+17,@RailMinIndia @sureshpprabhu @narendramodi Great and commendable job done by your team #lature,0.0,,RailMinIndia
7.197761993129574e+17,"@RailMinIndia Bihar Sampark Kranti Train"" Dhakchha Marti Hai""resulting sleeplessness in the running train.Kindly remove inconveniences.",1.0,coaches,RailMinIndia
7.197776557850624e+17,@dtptraffic very big traffic on road tilak nagar to rajaori garden,1.0,JAM,dtptraffic
7.197782491407933e+17,@sureshpprabhu @RailMinIndia its a pride to see special Train carrying relief water to #drought hit areas #India good initiative @PMOIndia,0.0,,RailMinIndia
7.19781169038893e+17,#laatur Water supply by Indian Railway First time ever in Indian History. Great Supportive Efficient @PMOIndia @sureshpprabhu @RailMinIndia,0.0,,RailMinIndia
7.197826277844664e+17,Hefty fines should be imposed for people to fall in line with the traffic rules. @dtptraffic https://t.co/w4I1V9h19M,0.0,,dtptraffic
7.19783272226562e+17,My frn travln in Train no 12485 PNR 4631644401 Some ppl are consuming alcohol freely Pls take some action asap @sureshpprabhu @RailMinIndia,1.0,violence,RailMinIndia
7.197839180947988e+17,@dtptraffic DL 11 SE 0103 no helmet  burari main road  5 april 2016  5:01 pm https://t.co/TWwvpUW1XW,1.0,NO HELMET,dtptraffic
7.197844092647301e+17,@RailMinIndia again fans r switched off at this summer  on plat. At belur stn  west bengal  dist: hwh...,1.0,platform,RailMinIndia
7.19789045950251e+17,One more step for #WorldClass #SuratRailwayStation  Thanks a lot  @sureshpprabhu ji @narendramodi ji @RailMinIndia https://t.co/zcqJqAsgNs,0.0,,RailMinIndia
7.197910643499991e+17,Passengers cross the line with great risk at Konnagar Railway station----@RailMinIndia do needful  plz.,1.0,platform,RailMinIndia
7.197918295084974e+17,Zam from naraina to dhaula kuan from last 45 minutes @dtptraffic #trafficjam Not action taken till morning 2 policemen at site only#slowwork,1.0,JAM,dtptraffic
7.197949782439444e+17,@RailMinIndia @sureshpprabhu I am travelling right now from njo to hwh. 12042. Take action right now  Sweeper Sanjay. Doest apologise also.,0.0,,RailMinIndia
7.198001955762422e+17,@RailMinIndia all the major  stations should be provided with ramped over bridge for changing platform to help passengers with luggage &amp; old,0.0,,RailMinIndia
7.198020396690964e+17,@dtptraffic DL8S BL7808  burari main road  5 april 2016  no helmet  5:00 pm https://t.co/9BgTwvq8Pf,1.0,NO HELMET,dtptraffic
7.19803483776426e+17,@dir_ed @IncomeTaxIndia @PMOIndia @HMOIndia @FinMinIndia @indSupremeCourt  Actual earning of movies must be calculated for accurate taxation,0.0,,IncomeTaxIndia
7.198035692605071e+17,@dtptraffic parking on center of road btwn bara tooti chowk &amp; sadar thana chowk. Compained before also but no action https://t.co/iwrWsiDd7m,1.0,PARKING,dtptraffic
7.198047660927181e+17,@sureshpprabhu @mumbairailusers @RailMinIndia @CSTM_railinfo @Narendra_IRTS today reach water waggon at latur  tks https://t.co/ApeauI3NMN,0.0,,RailMinIndia
7.198095537773322e+17,@dtptraffic DL 1 SV 9982 burari main road  5 april 2016  5:00pm  rider and pillion without helmet https://t.co/iB1pWviFeg,1.0,NO HELMET,dtptraffic
7.198104803871744e+17,@dtptraffic DL 8S BS0337  no helmet  burari main road  5 april 2016  4:55 pm https://t.co/kKa4gVAph8,1.0,NO HELMET,dtptraffic
7.198144075980554e+17,@DelhiPolice @CPDelhi @DCPNEastDelhi DP approves road encroachment silently at GTB Hsptl area. No DTP has seen last 1 year. No act on mail,1.0,TRAFFIC,DelhiPolice
7.198172266357187e+17,@RailMinIndia @sureshpprabhu  my ticket not transferred by chief reservation officer of NDLS station my pnr no-2542511352 please help us,0.0,,RailMinIndia
7.198181509346591e+17,shamefull... @DelhiPolice arrest him. https://t.co/BRdllR1kyJ,0.0,,DelhiPolice
7.198224401641472e+17,State bank of India    A/C Name: Itbusinesssolution.    A/NO:       35547591897    IFSC Code:  SBIN0060336 @DelhiPolice   kindly find out.,0.0,,DelhiPolice
7.198229248746537e+17,@DelhiPolice is not under anyone so why not he is arresting this person. @ashutosh83B https://t.co/dMnpaFi9Uz,0.0,,DelhiPolice
7.198261414151291e+17,#Latur great work @sureshpprabhu @RailMinIndia @PMOIndia other states CM willing to help? More trains in other draught hit areas?,0.0,,RailMinIndia
7.198264097625129e+17,@sureshpprabhu @RailMinIndia Getting the confirmed railway tickets in a minute on IRCTC app. Glad to see the progress.,0.0,,RailMinIndia
7.198266532039352e+17,@RailMinIndia Can you please convey our request to the concerned authority for running a Bhuj-Ahmedabad train daily in morning?,1.0,suggestion,RailMinIndia
7.19828694127149e+17,thanks @DelhiPolice 4 being friends of #streetchildren on #streetchildrenday @chetnango @Plan_India @streetchildren https://t.co/tjgpn4JcBj,0.0,,DelhiPolice
7.198301256180777e+17,@sureshpprabhu  @RailMinIndia @narendramodi  thanku very much ur initiative might be helpful for people of latur #appreciated#gov_of_india,0.0,,RailMinIndia
7.198345283033088e+17,@DelhiPolice @SushmaSwaraj plz help! these FAKE hr job on popular sited hv looted many ppl for jobs. plz help https://t.co/CS920OIZ40,1.0,FRAUD,DelhiPolice
